"anno","area","tipo","alunni"
202021,"CENTRO","IST PROFESSIONALE","81441"
202021,"CENTRO","IST TECNICO","153639"
202021,"CENTRO","LICEO ARTISTICO","9304"
202021,"CENTRO","LICEO CLASSICO","71939"
202021,"CENTRO","LICEO SCIENTIFICO","140233"
202021,"CENTRO","SCUOLA MAGISTRALE","1149"
202021,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","19617"
202021,"ISOLE","IST D'ARTE","5835"
202021,"ISOLE","IST MAGISTRALE","32224"
202021,"ISOLE","IST PROFESSIONALE","55902"
202021,"ISOLE","IST TECNICO","89563"
202021,"ISOLE","LICEO ARTISTICO","5850"
202021,"ISOLE","LICEO CLASSICO","38296"
202021,"ISOLE","LICEO SCIENTIFICO","73647"
202021,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","8610"
202021,"NORD EST","IST D'ARTE","10286"
202021,"NORD EST","IST MAGISTRALE","31221"
202021,"NORD EST","IST PROFESSIONALE","85694"
202021,"NORD EST","IST TECNICO","167343"
202021,"NORD EST","LICEO ARTISTICO","9079"
202021,"NORD EST","LICEO CLASSICO","45998"
202021,"NORD EST","LICEO SCIENTIFICO","92478"
202021,"NORD EST","SCUOLA MAGISTRALE","289"
202021,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","13988"
202021,"NORD OVEST","IST D'ARTE","3747"
202021,"NORD OVEST","IST MAGISTRALE","44450"
202021,"NORD OVEST","IST PROFESSIONALE","103347"
202021,"NORD OVEST","IST TECNICO","229928"
202021,"NORD OVEST","LICEO ARTISTICO","24708"
202021,"NORD OVEST","LICEO CLASSICO","46479"
202021,"NORD OVEST","LICEO SCIENTIFICO","153854"
202021,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","39707"
202021,"SUD","IST D'ARTE","10810"
202021,"SUD","IST MAGISTRALE","63938"
202021,"SUD","IST PROFESSIONALE","129720"
202021,"SUD","IST TECNICO","203718"
202021,"SUD","LICEO ARTISTICO","12062"
202021,"SUD","LICEO CLASSICO","75426"
202021,"SUD","LICEO SCIENTIFICO","194501"
202021,"SUD","SCUOLA MAGISTRALE","407"
202021,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","32199"
202122,"CENTRO","IST D'ARTE","18020"
202122,"CENTRO","IST MAGISTRALE","39200"
202122,"CENTRO","IST PROFESSIONALE","79704"
202122,"CENTRO","IST TECNICO","154541"
202122,"CENTRO","LICEO ARTISTICO","9915"
202122,"CENTRO","LICEO CLASSICO","72466"
202122,"CENTRO","LICEO SCIENTIFICO","141396"
202122,"CENTRO","SCUOLA MAGISTRALE","1107"
202122,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","20779"
202122,"ISOLE","IST D'ARTE","5930"
202122,"ISOLE","IST MAGISTRALE","31817"
202122,"ISOLE","IST PROFESSIONALE","52391"
202122,"ISOLE","IST TECNICO","88263"
202122,"ISOLE","LICEO ARTISTICO","6292"
202122,"ISOLE","LICEO CLASSICO","38008"
202122,"ISOLE","LICEO SCIENTIFICO","73103"
202122,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","9208"
202122,"NORD EST","IST D'ARTE","10571"
202122,"NORD EST","IST MAGISTRALE","31778"
202122,"NORD EST","IST PROFESSIONALE","84483"
202122,"NORD EST","IST TECNICO","167057"
202122,"NORD EST","LICEO ARTISTICO","9316"
202122,"NORD EST","LICEO CLASSICO","45590"
202122,"NORD EST","LICEO SCIENTIFICO","92908"
202122,"NORD EST","SCUOLA MAGISTRALE","314"
202122,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","15029"
202122,"NORD OVEST","IST D'ARTE","3893"
202122,"NORD OVEST","IST MAGISTRALE","44437"
202122,"NORD OVEST","IST PROFESSIONALE","101823"
202122,"NORD OVEST","IST TECNICO","229607"
202122,"NORD OVEST","LICEO ARTISTICO","25281"
202122,"NORD OVEST","LICEO CLASSICO","45988"
202122,"NORD OVEST","LICEO SCIENTIFICO","153368"
202122,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","41615"
202122,"SUD","IST D'ARTE","11115"
202122,"SUD","IST MAGISTRALE","63446"
202122,"SUD","IST PROFESSIONALE","125774"
202122,"SUD","IST TECNICO","200686"
202122,"SUD","LICEO ARTISTICO","12578"
202122,"SUD","LICEO CLASSICO","75271"
202122,"SUD","LICEO SCIENTIFICO","193871"
202122,"SUD","SCUOLA MAGISTRALE","434"
202122,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","35900"
202223,"CENTRO","IST D'ARTE","18663"
202223,"CENTRO","IST MAGISTRALE","39822"
202223,"CENTRO","IST PROFESSIONALE","77672"
202223,"CENTRO","IST TECNICO","154046"
202223,"CENTRO","LICEO ARTISTICO","10489"
202223,"CENTRO","LICEO CLASSICO","71728"
202223,"CENTRO","LICEO SCIENTIFICO","142152"
202223,"CENTRO","SCUOLA MAGISTRALE","1092"
202223,"CENTRO","SCUOLA SEC SECONDO GRADO NON STATALE","21975"
202223,"ISOLE","IST D'ARTE","6060"
202223,"ISOLE","IST MAGISTRALE","32287"
202223,"ISOLE","IST PROFESSIONALE","49788"
202223,"ISOLE","IST TECNICO","86115"
202223,"ISOLE","LICEO ARTISTICO","6402"
202223,"ISOLE","LICEO CLASSICO","37003"
202223,"ISOLE","LICEO SCIENTIFICO","72771"
202223,"ISOLE","SCUOLA SEC SECONDO GRADO NON STATALE","9667"
202223,"NORD EST","IST D'ARTE","10874"
202223,"NORD EST","IST MAGISTRALE","32399"
202223,"NORD EST","IST PROFESSIONALE","83656"
202223,"NORD EST","IST TECNICO","166783"
202223,"NORD EST","LICEO ARTISTICO","9536"
202223,"NORD EST","LICEO CLASSICO","44987"
202223,"NORD EST","LICEO SCIENTIFICO","93261"
202223,"NORD EST","SCUOLA MAGISTRALE","318"
202223,"NORD EST","SCUOLA SEC SECONDO GRADO NON STATALE","15792"
202223,"NORD OVEST","IST D'ARTE","4107"
202223,"NORD OVEST","IST MAGISTRALE","44695"
202223,"NORD OVEST","IST PROFESSIONALE","100804"
202223,"NORD OVEST","IST TECNICO","228223"
202223,"NORD OVEST","LICEO ARTISTICO","25949"
202223,"NORD OVEST","LICEO CLASSICO","44986"
202223,"NORD OVEST","LICEO SCIENTIFICO","153326"
202223,"NORD OVEST","SCUOLA SEC SECONDO GRADO NON STATALE","43210"
202223,"SUD","IST D'ARTE","12418"
202223,"SUD","IST MAGISTRALE","62527"
202223,"SUD","IST PROFESSIONALE","119505"
202223,"SUD","IST TECNICO","196084"
202223,"SUD","LICEO ARTISTICO","12280"
202223,"SUD","LICEO CLASSICO","73361"
202223,"SUD","LICEO SCIENTIFICO","192257"
202223,"SUD","SCUOLA MAGISTRALE","429"
202223,"SUD","SCUOLA SEC SECONDO GRADO NON STATALE","40767"
